questId,title,detail,category,type
503,艦隊大整備！,各艦隊から整備が必要な艦を5隻以上ドック入りさせ、大規模な整備をしよう！,5,1
140,新型電探を配備せよ！,新型電探運用試験のため、第一艦隊の旗艦に「妙高改二」を配備せよ！,1,4
175,新編「第八駆逐隊」を再編成せよ！,「朝潮改二」を旗艦とした「満潮」「大潮」「荒潮」4隻による第八駆逐隊を再編成せよ！,1,4
303,「演習」で練度向上！,本日中に他の司令官の艦隊に対して3回「演習」を挑もう！,3,1
402,「遠征」を３回成功させよう！,本日中に「遠征」３回成功させよう！,4,1
404,大規模遠征作戦、発令！,今週中に「遠征」30回成功させよう！,4,2
411,南方への鼠輸送を継続実施せよ！,今週中に「東京急行」系遠征を継続的に実施、同種作戦を7回成功させよう！,4,2
150,「第二一駆逐隊」を編成せよ！,「初春」「子日」「若葉」「初霜」4隻による第二一駆逐隊を編成せよ！,1,4
201,敵艦隊を撃破せよ！,艦隊を出撃させ、敵艦隊を捕捉、これを撃滅せよ！,2,1
403,「遠征」を１０回成功させよう！,本日中に「遠征」10回成功させよう！,4,1
504,艦隊酒保祭り！,艦隊酒保祭り！各艦に延べ15回以上の補給を実施しよう！,5,1
606,新造艦「建造」指令,「工廠」で艦娘を本日中に新たに「建造」しよう！,6,1
210,敵艦隊を10回邀撃せよ！,艦隊全力出撃！遊弋する敵艦隊を10回邀撃せよ！,2,1
302,大規模演習,今週中に「演習」で他の提督の艦隊に対して20回「勝利」しよう！,3,2
304,「演習」で他提督を圧倒せよ！,本日中に他の司令官の艦隊との「演習」で5回以上「勝利」をおさめよう！,3,1
638,対空機銃量産,「機銃」系装備を量産し、工廠で6個廃棄！ 「装備改修」強化をサポートせよ！,6,2
265,海上護衛強化月間,鎮守府正面海域の対潜哨戒を強化し、敵潜水艦を制圧、安全な海上輸送体制を確立せよ！,2,3
173,強行高速輸送部隊を編成せよ！,「川内改二」旗艦、「江風改二」「時雨改二」他駆逐2隻による水雷戦隊を編成せよ！,1,4
256,「潜水艦隊」出撃せよ！,潜水艦戦力を中核とした艦隊で中部海域哨戒線へ反復出撃、敵戦力を漸減せよ！,2,3
607,装備「開発」集中強化！,「工廠」で装備アイテムを本日中に3回「開発」しよう(失敗もOK)！,6,1
134,式の準備！(その参),第一艦隊旗艦に練度の高い(Lv.90以上～99以下)艦娘を配備して気持ちを整理せよ！,1,4
138,新編「第二航空戦隊」を編成せよ！,「飛龍改二」(※旗艦)及び「蒼龍」を基幹とした二航戦(要駆逐艦2隻)を編成せよ！,1,4
172,「第二七駆逐隊」を編成せよ！,「白露改」旗艦、「時雨」「春雨」「五月雨」4隻による第二七駆逐隊を編成せよ！,1,4
155,新編「第六駆逐隊」を編成せよ！,「暁改二」を旗艦とした「響」「雷」「電」4隻による第六駆逐隊を編成せよ！,1,4
289,「第十六戦隊(第一次)」出撃せよ！,「第十六戦隊(第一次)」をバシー島沖に展開、敵艦隊を撃滅せよ！,2,4
226,南西諸島海域の制海権を握れ！,艦隊を南西諸島海域に全力出撃させ、多数の敵艦隊「主力」群を捕捉、撃滅せよ！,2,1
410,南方への輸送作戦を成功させよ！,激戦海域である南方海域への「東京急行」系遠征を敢行、これを成功させよ！,4,2
703,「近代化改修」を進め、戦備を整えよ！,一週間の間に、近代化改修を１5回成功させよ！,7,2
268,「第十一駆逐隊」対潜哨戒！,「第十一駆逐隊」を含む艦隊で鎮守府正面へ展開、対潜哨戒を実施せよ！,2,4
279,「第一水雷戦隊」北方ケ号作戦、再突入！,北方再突入準備の新編「一水戦」で北方キス島に再突入を敢行、同撤収作戦を完遂せよ！,2,4
295,「第十六戦隊(第二次)」出撃せよ！,「第十六戦隊(第二次)」をオリョール海に展開、敵主力艦隊を捕捉、これを撃滅せよ！,2,4
285,「空母機動部隊」北方海域に進出せよ！,航空母艦を旗艦とした空母機動部隊を北方AL海域方面に展開、敵戦力を撃滅せよ！,2,4
153,「第十八戦隊」を新編成せよ！,軽巡洋艦「天龍」「龍田」を基幹戦力とした「第十八戦隊」を4隻以上で新編成せよ！,1,4
157,「第一水雷戦隊」北方再突入準備！,「阿武隈改二」を旗艦として「響」「夕雲」「長波」「秋雲」「島風」の一水戦を再編成せよ！,1,4
112,「伊勢」型戦艦姉妹の全２隻を編成せよ！,伊勢型戦艦「伊勢」「日向」を同一艦隊に配属せよ！,1,4
114,「南雲機動部隊」を編成せよ！,一航戦「赤城」「加賀」二航戦「飛龍」「蒼龍」からなる第一機動部隊を編成せよ！,1,4
123,「第五航空戦隊」を編成せよ！,「翔鶴」「瑞鶴」を基幹とし、駆逐艦2隻を加えた第五航空戦隊を編成せよ！,1,4
118,「金剛」型による高速戦艦部隊を編成せよ！,金剛型戦艦「金剛」「比叡」「榛名」「霧島」全４隻の高速戦艦を集中配備せよ！,1,4
126,航空水上打撃艦隊を編成せよ！,航空戦艦2隻と航空巡洋艦2隻を基幹とする艦隊を編成せよ！,1,4
130,「第一水雷戦隊」を編成せよ！,「阿武隈」「曙」「潮」「霞」「不知火」を中核とした「第一水雷戦隊」を編成せよ！,1,4
131,「第八駆逐隊」を編成せよ！,「朝潮」「満潮」「大潮」「荒潮」4隻による第八駆逐隊を編成せよ！,1,4
214,あ号作戦,1週間の全力出撃を行い、可能な限り多くの敵艦隊を捕捉、これを迎撃せよ！,2,2
139,潜水艦隊「第六艦隊」を編成せよ！,「潜水母艦」と複数の潜水艦(4隻以上)からなる潜水艦隊「第六艦隊」を編成せよ！,1,4
228,海上護衛戦,有力な対潜能力を持つ海上護衛隊によって、可能な限り多くの敵潜水艦を撃滅せよ！,2,2
146,改修工廠を準備せよ！,第一艦隊の旗艦に工作艦「明石」を配備、改修工廠の準備を実施せよ！,1,4
276,海上突入部隊、進発せよ！,「比叡」「霧島」「長良」「暁」「雷」「電」の艦隊で、南方海域進出作戦を実施、敵を撃滅せよ！,2,4
213,海上通商破壊作戦,1週間で敵輸送船を20隻以上撃沈せよ！,2,2
223,「第四戦隊」出撃せよ！,「愛宕」「高雄」「鳥海」「摩耶」を基幹とする第四戦隊で、バシー島沖の敵を撃滅せよ！,2,4
227,新「三川艦隊」出撃せよ！,完全編成した「三川艦隊」をもって、オリョール海の敵を撃滅せよ！,2,4
224,「西村艦隊」出撃せよ！,「扶桑」「山城」「最上」「時雨」を基幹とする西村艦隊で、オリョール海の敵を撃滅せよ！,2,4
609,軍縮条約対応！,少し艦隊規模が大きくなりすぎました！「工廠」で不要な艦を2隻「解体」してください！,6,1
231,「潜水艦隊」出撃せよ！,伊号潜水艦2隻からなる潜水艦隊でオリョール海の敵を撃滅せよ！,2,4
628,機種転換,練度max「零戦21型(熟練)」搭載空母を秘書艦にして、新たに「零戦52型」を2つ廃棄！,6,3
233,「第六戦隊」出撃せよ！,編成した「第六戦隊」をもって出撃し、オリョール海の敵を撃滅「完全勝利」せよ！,2,4
639,新型魚雷兵装の開発,勲章x2消費：「島風」秘書艦に改修max「61cm五連装(酸素)魚雷」と<br>改修max「61cm三連装(酸素)魚雷」を装備！(任務達成後、各装備は消滅します),6,4
255,「水雷戦隊」バシー島沖緊急展開,軽巡を旗艦とした水雷戦隊(軽巡最大2隻他駆逐艦)でバシー島沖の敵を撃滅せよ！,2,4
274,「第六駆逐隊」対潜哨戒なのです！,「第六駆逐隊」を含む艦隊で鎮守府正面へ展開、対潜哨戒を実施せよ！,2,4
405,第一次潜水艦派遣作戦,はじめての潜水艦派遣作戦を成功させよう！,4,4
416,防空射撃演習を実施せよ！,「防空射撃演習」を複数回実施し、艦隊の防空能力を高めよ！,4,4
152,「三川艦隊」を新編、突入準備せよ！,第一艦隊において、「鳥海改ニ」を旗艦とする「三川艦隊」を編成せよ！,1,4
605,新装備「開発」指令,「工廠」で装備アイテムを新たに「開発」しよう(失敗もOK)！,6,1
637,「熟練搭乗員」養成,勲章x2消費：「鳳翔」秘書艦に練度max及び改修max「九六式艦戦」を搭載、熟練搭乗員を養成せよ！<br>(任務達成後、部隊は消滅します),6,5
702,艦の「近代化改修」を実施せよ！,近代化改修を実施して、２回以上これを成功させよ！,7,1
810,製油所地帯を防衛せよ！,水雷戦隊を製油所地帯沿岸に展開！同海域に出没する敵艦隊を三回以上撃滅せよ！,8,4
817,新編艦隊、南西諸島防衛線へ急行せよ！,水雷戦隊を含む新編艦隊を南西諸島防衛線に展開、同方面に来襲する敵艦隊を撃破せよ！,8,4
824,製油所地帯沿岸の哨戒を実施せよ！,軽空母旗艦と駆逐艦3隻を基幹とした護衛艦隊を編成、<br>製油所地帯沿岸に展開し、同海域の哨戒を実施、同海域の安全を確保せよ！,8,4
249,「第五戦隊」出撃せよ！,「第五戦隊」は沖ノ島沖の戦闘哨戒を実施、敵艦隊主力を捕捉、これを撃滅せよ！,2,3
143,「新型正規空母」を配備せよ！,雲龍型航空母艦一番艦「雲龍」を第一艦隊機旗艦に配備せよ！,1,4
171,「第三十一戦隊(第一次)」を編成せよ！,「五十鈴改二」旗艦、「皐月改二」「卯月改」を含む、対潜機動水上部隊を編成せよ！,1,4
259,「水上打撃部隊」南方へ！,戦艦3隻軽巡1隻他を基幹とした水上打撃部隊で南方海域へ進出、敵艦隊を撃滅せよ！,2,3
135,新たなる旅立ち！,第一艦隊旗艦に強い絆を結んだLv.100以上の艦娘を配備した6隻の艦隊を編成せよ！,1,4
288,新編「第二一戦隊」北方へ出撃せよ！,新編「第二一戦隊」を基幹とする艦隊で北方海域モーレイ海に出撃、敵を撃滅せよ！,2,4
296,新編成航空戦隊、北方へ進出せよ！,「新編成航空戦隊」をアルフォンシーノ方面へ進出、敵泊地の機動部隊を撃滅せよ！,2,4
149,「第十一駆逐隊」を編成せよ！,特I型駆逐艦「吹雪」「白雪」「初雪」「叢雲」4隻による第十一駆逐隊を編成せよ！,1,4
414,遠洋潜水艦作戦を実施せよ！,「遠洋潜水艦作戦」を実施し、潜水艦隊の練度向上と敵艦隊漸減に努めよ！,4,4
221,ろ号作戦,1週間の全力出撃を行い、敵輸送船団を捕捉・撃滅、敵の補給路を寸断せよ！,2,2
229,敵東方艦隊を撃滅せよ！,西方海域に出撃し、敵東方艦隊の主力を捕捉、これを撃滅せよ！,2,2
241,敵北方艦隊主力を撃滅せよ！,北方海域の深部に出撃し、敵北方艦隊の主力艦隊を捕捉、これを撃滅せよ！,2,2
167,新航空戦隊を編成せよ！,改二改装を終えた翔鶴型航空母艦2隻と同護衛艦による新航空戦隊を新編成せよ！,1,4
211,敵空母を３隻撃沈せよ！,艦隊の脅威となる敵空母群。これを捕捉撃滅し、3隻轟沈せよ！,2,5
232,「航空水上打撃艦隊」出撃せよ！,航空戦艦2隻と航空巡洋艦2隻を基幹とする艦隊でカレー洋の制海権を握れ！,2,4
608,艦娘「建造」艦隊強化！,艦隊強化のため、「工廠」で艦娘を本日中に3隻「建造」しよう！,6,1
142,精鋭「第三戦隊」全艦集結せよ！,第二次改装を完了した改装金剛型高速戦艦4隻を集結させよ！,1,4
823,水雷戦隊、南西防衛線に反復出撃せよ！,軽巡級旗艦と駆逐艦4隻の水雷戦隊を基幹とした艦隊を編成、<br>南西諸島防衛線に反復出撃し、同海域の制海権確保に努めよ！,8,4
136,「第三十駆逐隊(第二次)」を編成せよ！,「睦月」「弥生」「卯月」「望月」4隻による第三十駆逐隊(第二次)を編成せよ！,1,4
148,軽快な「水上反撃部隊」を編成せよ！,駆逐艦「霞」を旗艦とした重巡「足柄」及び軽巡1隻駆逐艦4隻の水上挺身部隊を編成せよ！,1,4
163,「第十六戦隊(第一次)」を編成せよ！,「足柄」を旗艦として「球磨」「長良」を擁する、第十六戦隊(第一次)を編成せよ！,1,4
174,新編「水雷戦隊」を含む艦隊を再編成せよ！,軽巡級を旗艦とした駆逐艦4隻からなる強力な水雷戦隊を含む艦隊を再編成せよ！,1,4
170,精強な「水上反撃部隊」を再編成せよ！,駆逐艦「霞」旗艦、「足柄」「大淀」「朝霜」「清霜」他の水上反撃部隊を再編成せよ！,1,4
225,「第五航空戦隊」出撃せよ！,「翔鶴」「瑞鶴」を基幹とする第五航空戦隊で、北方海域モーレイ海の敵を撃滅せよ！,2,4
816,艦隊、三周年！,三周年を記念しバシー島沖及び東部オリョール海に出撃、同海域の敵艦隊を撃滅せよ！,8,4
808,「第二七駆逐隊」出撃せよ！,「白露改」旗艦の第二七戦隊を含む艦隊をオリョール海に展開、同海域の敵艦隊を撃滅せよ！,8,4
176,精鋭！八駆第一小隊！,「朝潮改二丁」及び「大潮改二」を含む艦隊を編成せよ！,1,4
626,精鋭「艦戦」隊の新編成,要熟練搭乗員：練度max「零戦21型」搭載「鳳翔」秘書艦で「零戦21型」x2「九六艦戦」x1廃棄！,6,3
272,「改装防空重巡」出撃せよ！,摩耶改または摩耶改二及び軽巡1駆逐2隻を含む艦隊でオリョール海の敵艦隊を撃滅せよ！,2,4
311,精鋭艦隊演習,同日中に「演習」で7回以上「勝利」をおさめ、我が精鋭艦隊の練度を示そう！,3,3
286,鎮守府正面の対潜哨戒を強化せよ！,鎮守府正面の対潜哨戒を強化し、海上資源輸送路の安全を確立せよ！,2,4
253,「第六〇一航空隊」出撃せよ！,雲龍型航空母艦「雲龍改」含む機動部隊で珊瑚島沖に出撃、敵機動部隊を撃滅せよ！,2,4
263,「第六戦隊」南西海域へ出撃せよ！,「古鷹」「加古」「青葉」「衣笠」を基幹とした「第六戦隊」で、沖ノ島沖の敵艦隊を撃滅せよ！,2,4
269,「第二一駆逐隊」出撃せよ！,「第二一駆逐隊」を含む艦隊で出撃し、北方海域モーレイ海の敵を撃滅せよ！,2,4
119,「三川艦隊」を編成せよ！,「鳥海」「青葉」「加古」「古鷹」「天龍」を含む高速艦隊を編成せよ！,1,4
273,新編「三川艦隊」ソロモン方面へ！,第一艦隊に編成した「三川艦隊」を南方海域に進出させ、同方面の敵艦隊を撃滅せよ！,2,4
128,「第六戦隊」を編成せよ！,「古鷹」「加古」「青葉」「衣笠」を基幹とした第六戦隊を編成せよ！,1,4
277,「第六駆逐隊」対潜哨戒を徹底なのです！,「第六駆逐隊」を含む艦隊で鎮守府正面で対潜哨戒を実施、敵潜水艦部隊を痛打せよ！,2,4
220,い号作戦,有力な母艦航空隊で1週間の全力出撃を行い、可能な限り多くの敵空母を撃滅せよ！,2,2
216,敵艦隊主力を撃滅せよ！,艦隊を出撃させ、敵艦隊「主力」を捕捉！これを撃滅せよ！,2,1
822,沖ノ島海域迎撃戦,有力な艦隊を沖ノ島海域前面に反復投入、侵攻する敵機動部隊を迎撃、これを撃滅せよ！,8,5
218,敵補給艦を3隻撃沈せよ！,艦隊を出撃させ、敵補給艦を捕捉、これを撃滅せよ！,2,1
271,「那智戦隊」抜錨せよ！,旗艦「那智」及び「初霜」「霞」「潮」「曙」他1隻の艦隊でバシー島沖の敵を撃滅せよ！,2,4
133,「第三十駆逐隊(第一次)」を編成せよ！,「睦月」「如月」「弥生」「望月」4隻による第三十駆逐隊(第一次)を編成せよ！,1,4
260,「戦艦部隊」北方海域に突入せよ！,戦艦2隻と直援軽空母1隻(正規空母無し)基幹の艦隊で北方AL海域に突入、敵を撃滅せよ！,2,4
264,「空母機動部隊」西へ！,航空母艦2隻(随伴駆逐艦2隻)を基幹とする空母機動艦隊で、カレー洋の敵艦隊を撃滅せよ！,2,3
168,「第十六戦隊(第二次)」を編成せよ！,「名取」を旗艦として「五十鈴」「鬼怒」を擁する、第十六戦隊(第二次)を編成せよ！,1,4
267,「第十一駆逐隊」出撃せよ！,「第十一駆逐隊」を含む艦隊で出撃し、オリョール海の敵を撃破せよ！,2,4
812,オリョール海の制海権を確保せよ！,大潮を旗艦とする艦隊を東部オリョール海に反復出撃、同方面敵艦隊を完全撃滅せよ！,8,4
613,資源の再利用,「工廠」で余剰の装備アイテムをなるべく多く「廃棄」して、鋼材の再利用に努めよう！,6,2
219,「三川艦隊」出撃せよ！,新編成した「三川艦隊」で出撃せよ！,2,4
257,「水雷戦隊」南西へ！,軽巡旗艦の水雷戦隊(軽巡最大3隻他駆逐艦)を急派、南西諸島防衛線で敵を撃滅せよ！,2,3
262,「西村艦隊」南方海域へ進出せよ！,「西村艦隊」を南方海域に進出させ、敵主力艦隊へ突入、これを撃滅せよ！,2,4
244,「第三十駆逐隊(第一次)」出撃せよ！,「第三十駆逐隊(第一次)」を含む艦隊で出撃し、キス島沖の主力艦隊と交戦せよ！,2,4
254,「軽空母」戦隊、出撃せよ！,軽空母1～2隻、軽巡1隻、駆逐艦3～4隻の艦隊でカムラン半島の敵を撃滅せよ！,2,4
806,旗艦「霞」出撃！敵艦隊を撃滅せよ！,旗艦「霞改二」で駆逐艦3隻を含む艦隊で南西諸島沖ノ島沖に突入！敵主力を撃滅せよ！,8,4
814,強行高速輸送部隊、出撃せよ！,「江風改二」「時雨改二」「川内改二」他駆逐2隻を含む艦隊で、ジャム島攻略作戦を実施せよ！,8,4
811,南西諸島防衛線を強化せよ！,南西諸島防衛線に有力な艦隊を展開、同方面に来襲する敵艦隊を五回以上撃滅せよ！,8,4
297,「礼号作戦」実施せよ！,精強な「水上反撃部隊」で、南西諸島沖ノ島沖に突入！同海域の敵戦力を撃滅せよ！,2,4
162,新編「第二一戦隊」出撃準備！,「那智改二」「足柄改二」及び「多摩」「木曾」を基幹とした、第二一戦隊を編成せよ！,1,4
619,装備の改修強化,「改修工廠」で「装備」の改修強化に努めます。,6,1
132,「第十八駆逐隊」を編成せよ！,「霞」「霰」「陽炎」「不知火」4隻による第十八駆逐隊を編成せよ！,1,4
275,抜錨！「第十八戦隊」,「天龍」「龍田」を基幹戦力とした「第十八戦隊」で出撃し、オリョール海の敵主力を撃滅せよ！,2,4
266,「水上反撃部隊」突入せよ！,駆逐艦を旗艦とした重巡1隻軽巡1隻駆逐艦4隻からなる水上挺身部隊、沖ノ島沖に突入せよ！,2,3
415,遠洋潜水艦作戦の成果を拡大せよ！,「遠洋潜水艦作戦」を継続実施し、潜水艦隊の練度向上と敵艦隊漸減に努めよ！,4,4
246,二人でする初めての任務！,強い絆を結んだ艦娘を旗艦とした第一艦隊でリランカ島へ出撃、敵中枢を撃滅せよ！,2,4
809,強襲上陸作戦用戦力を増強せよ！,中部海域における航空偵察「K作戦」を実施しつつ、強襲上陸作戦用戦力の強化を図れ！,8,4
412,航空火力艦の運用を強化せよ！,「航空戦艦運用演習」を実施し、航空火力艦の運用の強化に努めよ！,4,4
417,囮機動部隊支援作戦を実施せよ！,「囮機動部隊支援作戦」を実施し、これを成功させよ！,4,4
805,旗艦「霞」北方海域を哨戒せよ！,旗艦「霞改二」で駆逐艦4隻を含む艦隊を北方海域に投入し、モーレイ海哨戒を実施せよ！,8,4
813,旗艦「大潮」出撃せよ！,「大潮改二」旗艦の有力な艦隊を北方AL海域に展開、北方海域戦闘哨戒を実施せよ！,8,4
248,「第三十駆逐隊」対潜哨戒！,「第三十駆逐隊(第二次)」は直ちに抜錨！鎮守府正面の対潜哨戒を実施せよ！,2,4
251,精鋭「第二航空戦隊」抜錨せよ！,錬成を終え再編成「二航戦」を基幹とした艦隊で、敵リランカ島を空襲、破砕せよ！,2,4
129,「第五艦隊」を編成せよ！,「那智」「足柄」「多摩」「木曾」を中核とした「第五艦隊」を編成せよ！,1,4
420,機動部隊の運用を強化せよ！,機動部隊遠征を実施、「MO作戦」及び「敵母港空襲作戦」を展開、これを成功させよ！,4,4
124,新「三川艦隊」を編成せよ！,「鳥海」「青葉」「衣笠」「加古」「古鷹」「天龍」からなる三川艦隊を編成せよ！,1,4
127,中規模潜水艦隊を編成せよ！,伊号潜水艦3隻以上からなる潜水艦隊を編成せよ！,1,4
144,主力戦艦部隊「第二戦隊」を編成せよ！,長門型2隻及び扶桑型2隻の計4隻の主力戦艦からなる第二戦隊を編成せよ！,1,4
278,「第一水雷戦隊」ケ号作戦、突入せよ！,北方突入準備を完了した「一水戦」で北方キス島に突入！包囲網を破り、友軍を救出せよ！,2,4
164,「第三航空戦隊」を編成せよ！,「瑞鶴改」を旗艦とし、「瑞鳳」「千歳」「千代田」を加えた4隻の空母部隊を編成せよ！,1,4
239,「第八駆逐隊」出撃せよ！,編成した「第八駆逐隊」を含む艦隊で出撃し、オリョール海の敵を撃滅せよ！,2,4
250,新編「第二航空戦隊」出撃せよ！,新編「二航戦」を基幹とした艦隊で、珊瑚諸島沖に出撃、敵機動部隊を撃滅せよ！,2,4
110,「妙高」型重巡姉妹の全４隻を編成せよ！,妙高型重巡洋艦「妙高」「那智」「足柄」「羽黒」を同一艦隊に配属せよ！,1,4
116,「水上機母艦」を配備せよ！,多数の水上偵察機を運用する「水上機母艦」を艦隊に配備せよ！,1,4
610,「大型艦建造」の準備！(その弐),大型艦建造の準備をします！「工廠」で装備アイテムを4回「廃棄」してみてください！,6,4
617,「伊良湖」の準備,「工廠」で不要な装備アイテムをいくつか「廃棄」して、新型給糧艦召喚の準備をしましょう！,6,4
634,新家具の準備,「工廠」で装備アイテムを9つ「廃棄」して、新家具の準備をします。,6,4
640,初夏の整理整頓,不要な装備を複数「廃棄」して、夏を迎える準備をしましょう！,6,4
151,「第二二駆逐隊」を編成せよ！,「皐月」「文月」「長月」他1隻計駆逐艦4隻による第二二駆逐隊を編成せよ！,1,4
240,「第十八駆逐隊」出撃せよ！,編成した「第十八駆逐隊」を含む艦隊で出撃し、北方海域モーレイ海の敵を撃滅せよ！,2,4
147,「西村艦隊」を再編成せよ！,「扶桑」「山城」「最上」「時雨」「満潮」を基幹とした西村艦隊を編成せよ！,1,4
247,「航空戦艦」抜錨せよ！,航空戦艦2隻を基幹とする艦隊で、西方海域カスガダマ島の敵勢力を撃破せよ！,2,4
258,「第二戦隊」抜錨！,「第二戦隊」を基幹とした艦隊でカレー洋に進出、反復出撃により敵海上兵力を撃滅せよ！,2,4
818,鎮守府近海航路の安全確保を強化せよ！,水雷戦隊を含む新編艦隊を鎮守府近海航路に出撃させ、同航路の安全確保に努めよ！,8,4
141,再編成「第二航空戦隊」を強化せよ！,「蒼龍改二」(※旗艦)及び「飛龍改二」を基幹とした二航戦(要駆逐艦2隻)を編成せよ！,1,4
807,「第三十一戦隊」出撃せよ！,第三十一戦隊(第一次)を鎮守府近海航路に出撃させ、同航路の安全確保に努めよ！,8,4
819,「第三十一戦隊」敵潜を制圧せよ！,第三十一戦隊(第一次)を鎮守府近海航路に再投入！反復出撃し、敵潜を制圧せよ！,8,4
154,海上突入部隊を編成せよ！,戦艦「比叡」「霧島」軽巡「長良」駆逐艦「暁」「雷」「電」による海上突入部隊を編成せよ！,1,4
243,南方海域珊瑚諸島沖の制空権を握れ！,南方海域珊瑚諸島沖に出撃し、敵機動部隊本体を捕捉撃滅、これに完全勝利せよ！,2,2
631,機種転換＆部隊再編,練度max「零戦52型丙(付岩井小隊)」搭載「瑞鶴」秘書艦で、「零戦62型(爆戦)」を2つ廃棄！,6,4
169,「新編成航空戦隊」を編成せよ！,空母2隻+航空戦艦/航空巡洋艦2隻+駆逐艦2隻の新航空戦隊を編成せよ！,1,4
222,「第六駆逐隊」出撃せよ！,「暁」「響」「雷」「電」による第六駆逐隊、出撃せよ！,2,4
245,式の準備！(最終),練度の高い(Lv.90～99)第一艦隊旗艦で出撃し、オリョール海の暁に勝利を刻め！,2,4
106,「重巡戦隊」を編成せよ！,重巡洋艦２隻を擁する重巡艦隊を編成せよ！,1,4
111,「扶桑」型戦艦姉妹の全２隻を編成せよ！,扶桑型戦艦「扶桑」「山城」を同一艦隊に配属せよ！,1,4
117,第２艦隊で空母機動部隊を編成せよ！,第２艦隊に空母を配備して、空母機動部隊を編成せよ！,1,4
120,「第六駆逐隊」を編成せよ！,「暁」「響」「雷」「電」4隻による第六駆逐隊を編成せよ！,1,4
413,(続)航空火力艦の運用を強化せよ！,「航空戦艦運用演習」を継続実施し、航空火力艦の運用の強化に引き続き努めよ！,4,4
301,はじめての「演習」！,他の提督(プレイヤー)の艦隊と「演習」を行おう！,3,4
612,輸送用ドラム缶の準備,「工廠」で装備アイテムを3回「廃棄」して、輸送用のドラム缶を準備します。,6,4
418,観艦式予行を実施せよ！,観艦式を実施する。予行として「観艦式予行」を複数回実施し、これを2回成功させよ！,4,4
815,「第一航空戦隊」西へ！,旗艦「赤城」同僚艦「加賀」を中核とする艦隊で、深海東洋艦隊漸減作戦を貫徹せよ！,8,4
252,戦艦「榛名」出撃せよ！,第二次改装実施した「榛名」を基幹とした艦隊で「南方海域」へ進出、敵艦隊主力を撃滅せよ！,2,4
616,機種転換,「零戦52型丙(六〇一空)」搭載空母を秘書艦にした状態で新たに「烈風」を2つ廃棄！,6,4
137,「第五戦隊」を編成せよ！,「妙高」「那智」「羽黒」を基幹とした第五戦隊を編成せよ！,1,4
145,戦艦を主力とした水上打撃部隊を編成せよ！,大和型・長門型・伊勢型・扶桑型のいずれか3隻と軽巡1隻他の水上打撃部隊を配備せよ！,1,4
293,「第三航空戦隊」南西諸島防衛線に出撃！,編成した「第三航空戦隊」を南西諸島防衛線に展開、敵侵攻艦隊を捕捉撃滅せよ！,2,4
307,艦隊の練度向上に努めよ！,作戦前に艦隊の練度向上を図る！本日中に「演習」で3回以上「勝利」をおさめよう！,3,4
122,「西村艦隊」を編成せよ！,「扶桑」「山城」「最上」「時雨」を基幹とした西村艦隊を編成せよ！,1,4
161,「第五航空戦隊」を再編成せよ！,「翔鶴」「瑞鶴」と随伴駆逐艦「朧」「秋雲」を基幹とした第五航空戦隊を再編成せよ！,1,4
156,「第一水雷戦隊」北方突入準備！,「阿武隈」を旗艦として「響」「初霜」「若葉」「五月雨」「島風」による一水戦を編成せよ！,1,4
406,第二次潜水艦派遣作戦,第二次潜水艦派遣作戦を成功させよう！,4,4
165,「第四航空戦隊」を編成せよ！,航空戦艦「伊勢改」及び「日向改」を基幹戦力とした第四航空戦隊を編成せよ！,1,4
108,「天龍」型軽巡姉妹の全２艦を編成せよ！,天龍型軽巡洋艦「天龍」「龍田」を同一艦隊に配属せよ！,1,4
629,「艦戦」隊の再編成,練度max「零戦52型(熟練)」搭載「瑞鶴」秘書艦で「零戦52型丙(六〇一空)」を廃棄！,6,4
615,機種転換,「九九式艦爆(江草隊)」搭載空母を秘書艦にした状態で新たに「彗星」を2つ廃棄！,6,4
312,上陸部隊演習,島嶼攻略部隊の練度向上のため、本日中に演習で4回以上「勝利」せよ！,3,4
